,s,a,sp,r
884,3,3,5,-3.0
885,3,4,5,-3.0
886,3,5,5,4.0
887,3,6,5,-3.0
888,3,7,5,-3.0
889,3,8,5,-3.0
890,3,9,5,-3.0
891,3,10,5,-2.0
892,3,11,5,-3.0
893,3,12,5,-3.0
894,3,13,5,-2.0
895,3,14,5,-3.0
896,5,1,1,5.0
897,5,2,1,-2.0
898,5,3,1,-3.0
899,5,4,1,-3.0
900,5,5,1,-3.0
901,5,6,1,-5.0
902,5,7,1,-2.0
903,5,8,1,-3.0
904,5,9,1,-2.0
905,5,10,1,-3.0
906,5,11,1,-3.0
907,5,12,1,-2.0
908,5,13,1,-3.0
909,5,14,1,0.0
910,12,1,12,-2.0
911,12,2,12,-1.0
912,12,3,12,-2.0
913,12,4,12,-4.0
914,12,5,12,-3.0
915,12,6,12,-5.0
916,12,7,12,-3.0
917,12,8,12,-3.0
918,12,9,12,-3.0
919,12,10,12,-3.0
920,12,11,12,-3.0
921,12,12,12,3.0
922,12,13,12,-3.0
923,12,14,12,-3.0
924,4,1,7,-2.0
925,4,2,7,-3.0
926,4,3,7,-3.0
927,4,4,7,-3.0
928,4,5,7,-3.0
929,4,6,7,-5.0
930,4,7,7,4.0
931,4,8,7,-3.0
932,4,9,7,-2.0
933,4,10,7,-3.0
934,4,11,7,-2.0
935,4,12,7,-3.0
936,4,13,7,-3.0
937,4,14,7,-2.0
938,7,1,1,3.0
939,7,2,1,-2.0
940,7,3,1,-3.0
941,7,4,1,-3.0
942,7,5,1,-3.0
943,7,6,1,-5.0
944,7,7,1,-2.0
945,7,8,1,-3.0
946,7,9,1,-2.0
947,7,10,1,-3.0
948,7,11,1,-3.0
949,7,12,1,-2.0
950,7,13,1,-3.0
951,7,14,1,0.0
952,1,1,1,3.0
953,1,2,1,-2.0
954,1,3,1,-3.0
955,1,4,1,-3.0
956,1,5,1,-3.0
957,1,6,1,-5.0
958,1,7,1,-2.0
959,1,8,1,-3.0
960,1,9,1,-2.0
961,1,10,1,-3.0
962,1,11,1,-3.0
963,1,12,1,-2.0
964,1,13,1,-3.0
965,1,14,1,0.0
966,5,1,4,-3.0
967,5,2,4,-3.0
968,5,3,4,-2.0
969,5,4,4,4.0
970,5,5,4,-3.0
971,5,6,4,-2.0
972,5,7,4,-3.0
973,5,8,4,-3.0
974,5,9,4,-5.0
975,5,10,4,-2.0
976,5,11,4,-3.0
977,5,12,4,-4.0
978,5,13,4,-2.0
979,5,14,4,-3.0
980,7,1,5,-3.0
981,7,2,5,-2.0
982,7,3,5,-3.0
983,7,4,5,-3.0
984,7,5,5,5.0
985,7,6,5,-3.0
986,7,7,5,-3.0
987,7,8,5,-3.0
988,7,9,5,-3.0
989,7,10,5,-2.0
990,7,11,5,-3.0
991,7,12,5,-3.0
992,7,13,5,-2.0
993,7,14,5,-3.0
994,3,1,4,-3.0
995,3,2,4,-3.0
996,3,3,4,-2.0
997,3,4,4,4.0
998,3,5,4,-3.0
999,3,6,4,-2.0
1000,3,7,4,-3.0
1001,3,8,4,-3.0
1002,3,9,4,-5.0
1003,3,10,4,-2.0
1004,3,11,4,-3.0
1005,3,12,4,-4.0
1006,3,13,4,-2.0
1007,3,14,4,-3.0
1008,13,1,13,-3.0
1009,13,2,13,-1.0
1010,13,3,13,-3.0
1011,13,4,13,-2.0
1012,13,5,13,-2.0
1013,13,6,13,-3.0
1014,13,7,13,-3.0
1015,13,8,13,-3.0
1016,13,9,13,-3.0
1017,13,10,13,-3.0
1018,13,11,13,-3.0
1019,13,12,13,-3.0
1020,13,13,13,5.0
1021,13,14,13,-3.0
1022,13,1,13,-3.0
1023,13,2,13,-1.0
1024,13,3,13,-3.0
1025,13,4,13,-2.0
1026,13,5,13,-2.0
1027,13,6,13,-3.0
1028,13,7,13,-3.0
1029,13,8,13,-3.0
1030,13,9,13,-3.0
1031,13,10,13,-3.0
1032,13,11,13,-3.0
1033,13,12,13,-3.0
1034,13,13,13,5.0
1035,13,14,13,-3.0
1036,13,1,13,-3.0
1037,13,2,13,-1.0
1038,13,3,13,-3.0
1039,13,4,13,-2.0
1040,13,5,13,-2.0
1041,13,6,13,-3.0
1042,13,7,13,-3.0
1043,13,8,13,-3.0
1044,13,9,13,-3.0
1045,13,10,13,-3.0
1046,13,11,13,-3.0
1047,13,12,13,-3.0
1048,13,13,13,5.0
1049,13,14,13,-3.0
1050,13,1,13,-3.0
1051,13,2,13,-1.0
1052,13,3,13,-3.0
1053,13,4,13,-2.0
1054,13,5,13,-2.0
1055,13,6,13,-3.0
1056,13,7,13,-3.0
1057,13,8,13,-3.0
1058,13,9,13,-3.0
1059,13,10,13,-3.0
1060,13,11,13,-3.0
1061,13,12,13,-3.0
1062,13,13,13,5.0
1063,13,14,13,-3.0
1064,13,1,13,-3.0
1065,13,2,13,-1.0
1066,13,3,13,-3.0
1067,13,4,13,-2.0
1068,13,5,13,-2.0
1069,13,6,13,-3.0
1070,13,7,13,-3.0
1071,13,8,13,-3.0
1072,13,9,13,-3.0
1073,13,10,13,-3.0
